172.21.200.45, 2017-07-17 12:26:49, GET, /, HTTP/1.1, 303, 0.077893
172.21.200.45, 2017-07-17 12:26:50, GET, /welcome/default/index, HTTP/1.1, 200, 0.740044
172.21.200.45, 2017-07-17 12:26:50, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001141
172.21.200.45, 2017-07-17 12:26:50, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001101
172.21.200.45, 2017-07-17 12:26:50, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001366
172.21.200.45, 2017-07-17 12:26:50, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001104
172.21.200.45, 2017-07-17 12:26:50, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001092
172.21.200.45, 2017-07-17 12:26:50, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002221
172.21.200.45, 2017-07-17 12:26:50, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.003713
172.21.200.45, 2017-07-17 12:26:50, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002136
172.21.200.45, 2017-07-17 12:26:51, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001105
172.21.200.45, 2017-07-17 12:26:51, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002142
172.21.200.45, 2017-07-17 12:26:51, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001119
172.21.200.45, 2017-07-17 12:26:51, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001104
172.21.200.45, 2017-07-17 12:26:51, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001129
172.21.200.45, 2017-07-17 12:26:51, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001066
172.21.200.45, 2017-07-17 12:26:51, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.003681
172.21.200.45, 2017-07-17 12:26:52, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001944
172.21.200.45, 2017-07-17 12:26:57, GET, /admin/default/site, HTTP/1.1, 303, 1.663769
172.21.200.45, 2017-07-17 12:26:57, GET, /admin/default/index, HTTP/1.1, 200, 0.127228
172.21.200.45, 2017-07-17 12:26:57, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.001167
172.21.200.45, 2017-07-17 12:26:57, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001520
172.21.200.45, 2017-07-17 12:26:57, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.001224
172.21.200.45, 2017-07-17 12:26:57, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001320
172.21.200.45, 2017-07-17 12:26:57, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.001786
172.21.200.45, 2017-07-17 12:26:57, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001307
172.21.200.45, 2017-07-17 12:26:57, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001268
172.21.200.45, 2017-07-17 12:26:57, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001100
172.21.200.45, 2017-07-17 12:26:57, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001124
172.21.200.45, 2017-07-17 12:26:58, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001112
172.21.200.45, 2017-07-17 12:26:58, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001129
172.21.200.45, 2017-07-17 12:26:58, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001110
172.21.200.45, 2017-07-17 12:26:58, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.001233
172.21.200.45, 2017-07-17 12:26:58, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.001283
172.21.200.45, 2017-07-17 12:26:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000748
172.21.200.45, 2017-07-17 12:27:03, POST, /admin/default/index, HTTP/1.1, 303, 0.168540
172.21.200.45, 2017-07-17 12:27:03, GET, /admin/default/site, HTTP/1.1, 200, 0.178552
172.21.200.45, 2017-07-17 12:27:03, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001495
172.21.200.45, 2017-07-17 12:27:03, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.002525
172.21.200.45, 2017-07-17 12:27:03, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001093
172.21.200.45, 2017-07-17 12:27:03, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001167
172.21.200.45, 2017-07-17 12:27:03, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.004625
172.21.200.45, 2017-07-17 12:27:03, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.003074
172.21.200.45, 2017-07-17 12:27:04, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.002148
172.21.200.45, 2017-07-17 12:27:04, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.004789
172.21.200.45, 2017-07-17 12:27:04, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.129976
172.21.200.45, 2017-07-17 12:27:06, GET, /favicon.ico, HTTP/1.1, 400, 0.001339
172.21.200.34, 2017-07-17 12:17:36, GET, /admin/default/site, HTTP/1.1, 303, 0.357392
172.21.200.34, 2017-07-17 12:17:36, GET, /admin/default/index, HTTP/1.1, 200, 0.243614
172.21.200.34, 2017-07-17 12:17:36, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.001223
172.21.200.34, 2017-07-17 12:17:36, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001203
172.21.200.34, 2017-07-17 12:17:36, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001264
